P1,P3,P4,P7,EDAD,SEXO,ENT,DOMINIO,REGION,EST_DIS,UPM_DIS,ESTRATO
9,1,1,2,73,2,1,1,2,6,1,3
9,1,2,2,55,1,1,1,2,6,8,3
9,1,1,4,51,2,1,1,2,6,8,3
1,1,1,4,34,2,1,1,2,6,8,3
1,1,2,2,46,1,1,1,2,6,8,3
9,2,,4,22,2,1,1,2,5,9,2
9,2,,1,80,2,1,1,2,5,9,2
9,1,1,2,43,2,1,1,2,5,9,2
9,2,,2,32,1,1,1,2,5,9,2
9,,,,58,1,1,1,2,6,10,3
9,1,2,1,64,1,1,1,2,6,10,3
1,1,1,3,20,1,1,1,2,6,10,3
9,1,2,1,65,1,1,1,2,6,10,3
9,1,1,5,60,1,1,1,2,6,11,3
3,1,1,5,39,2,1,1,2,6,11,3
9,1,1,1,62,2,1,1,2,6,11,3
9,1,2,1,41,2,1,1,2,6,11,3
3,1,1,5,64,2,1,1,2,6,12,3
9,,,,45,2,1,1,2,6,12,3
9,1,2,5,62,2,1,1,2,6,12,3
9,1,1,1,52,1,1,1,2,6,12,3
9,9,,9,32,1,1,1,2,6,12,3
9,2,,1,79,2,1,1,2,6,13,3
9,1,2,2,63,1,1,1,2,6,13,3
9,1,1,2,34,1,1,1,2,6,13,3
9,1,2,1,62,2,1,1,2,6,14,3
9,9,,1,96,1,1,1,2,6,14,3
9,1,2,1,71,2,1,1,2,6,15,3
9,9,,1,46,1,1,1,2,6,15,3
9,1,2,1,24,1,1,1,2,6,15,3
9,1,2,1,68,2,1,1,2,6,15,3
3,1,2,2,32,2,1,1,2,6,15,3
9,2,,2,78,1,1,1,2,6,16,3
9,1,1,1,27,2,1,1,2,6,16,3
4,2,,5,33,1,1,1,2,6,16,3
3,1,1,5,45,2,1,1,2,6,16,3
4,2,,3,71,2,1,1,2,7,17,4
2,2,,2,65,2,1,1,2,7,17,4
9,1,1,3,68,2,1,1,2,7,17,4
2,1,1,4,48,1,1,1,2,7,17,4
9,2,,2,79,2,1,1,2,6,18,3
5,1,1,3,37,1,1,1,2,6,18,3
9,2,,1,54,1,1,1,2,6,18,3
9,2,,2,61,1,1,1,2,6,18,3
9,2,,2,70,2,1,1,2,6,18,3
9,1,1,3,77,1,1,1,2,6,19,3
5,1,2,3,39,1,1,1,2,6,19,3
9,,,,89,1,1,1,2,6,19,3
9,1,2,1,60,1,1,1,2,6,19,3
9,1,2,3,61,1,1,1,2,6,19,3
1,1,2,1,29,2,1,1,2,6,20,3
4,1,1,4,42,2,1,1,2,6,20,3
9,9,,4,68,1,1,1,2,6,20,3
1,1,1,4,62,2,1,1,2,6,20,3
3,1,2,3,43,1,1,1,2,6,20,3
6,1,1,4,35,1,1,1,2,6,21,3
9,1,1,2,28,2,1,1,2,6,21,3
9,2,,3,55,1,1,1,2,6,21,3
4,1,1,4,36,1,1,1,2,7,22,4
4,1,1,5,35,2,1,1,2,7,22,4
3,1,1,2,27,2,1,1,2,7,22,4
9,2,,1,79,2,1,1,2,6,23,3
9,1,2,1,43,2,1,1,2,6,23,3
9,9,,1,85,2,1,1,2,6,23,3
9,2,,1,86,2,1,1,2,6,23,3
4,1,1,2,25,1,1,1,2,7,24,4
9,9,,1,68,2,1,1,2,7,24,4
4,1,1,5,37,2,1,1,2,7,24,4
3,1,1,3,23,2,1,1,2,6,25,3
9,1,1,2,47,1,1,1,2,6,25,3
9,1,2,1,70,2,1,1,2,6,25,3
9,1,2,1,67,1,1,1,2,6,25,3
9,1,1,3,20,2,1,1,2,5,26,2
9,1,2,3,40,1,1,1,2,5,26,2
9,2,,2,23,2,1,1,2,5,26,2
9,1,1,3,51,2,1,1,2,5,26,2
9,9,,1,68,2,1,1,2,7,27,4
9,1,2,1,47,2,1,1,2,7,27,4
9,1,1,2,34,2,1,1,2,7,27,4
9,9,,1,43,2,1,1,2,7,27,4
9,1,2,3,24,2,1,1,2,6,28,3
9,2,,2,21,1,1,1,2,6,28,3
9,2,,2,49,2,1,1,2,6,28,3
9,1,1,5,38,2,1,1,2,6,28,3
9,1,1,3,47,2,1,1,2,5,29,2
9,1,1,3,34,2,1,1,2,5,29,2
9,1,1,3,30,1,1,1,2,5,29,2
9,9,,3,54,1,1,1,2,5,29,2
9,1,1,3,26,2,1,1,2,5,29,2
3,1,2,1,29,2,1,1,2,5,30,2
9,1,2,2,27,1,1,1,2,5,30,2
9,1,2,3,41,1,1,1,2,5,30,2
9,2,,2,68,2,1,1,2,5,30,2
2,1,1,3,42,2,1,1,2,6,31,3
1,1,2,1,27,2,1,1,2,6,31,3
3,1,1,5,60,2,1,1,2,6,31,3
9,,,,75,2,1,1,2,6,31,3
9,,,,77,1,1,1,2,6,31,3
3,1,1,2,56,1,1,1,2,5,32,2
1,1,1,3,47,1,1,1,2,5,32,2
9,1,1,3,60,1,1,1,2,5,32,2
9,,,,68,2,1,1,2,5,32,2
9,1,2,1,52,2,1,1,2,5,32,2
2,1,1,5,31,1,1,1,2,7,33,4
9,1,2,1,65,1,1,1,2,7,33,4
9,1,2,1,43,2,1,1,2,7,33,4
9,1,1,3,21,1,1,1,2,7,33,4
9,1,2,2,29,2,1,1,2,6,34,3
2,1,1,3,32,1,1,1,2,6,34,3
9,,,,62,2,1,1,2,6,34,3
9,1,1,4,61,1,1,1,2,6,34,3
9,1,2,5,22,2,1,1,2,6,35,3
9,1,1,1,30,2,1,1,2,6,35,3
9,,,,53,1,1,1,2,6,35,3
9,2,,1,24,1,1,1,2,6,35,3
9,1,1,4,26,2,1,1,2,6,35,3
9,1,1,1,30,2,1,1,2,6,36,3
3,1,2,3,51,2,1,1,2,6,36,3
2,1,1,3,21,1,1,1,2,6,36,3
4,1,1,2,44,1,1,1,2,6,36,3
4,1,1,1,23,2,1,1,2,6,36,3
9,1,1,3,39,2,1,1,2,6,37,3
9,2,,1,46,2,1,1,2,6,37,3
3,1,2,3,53,2,1,1,2,6,37,3
9,1,1,2,68,1,1,1,2,6,37,3
1,2,,1,61,1,1,1,2,6,37,3
9,1,1,3,26,2,1,1,2,5,38,2
9,1,1,3,32,2,1,1,2,5,38,2
9,2,,1,51,1,1,1,2,5,38,2
9,1,2,1,41,2,1,1,2,5,38,2
9,2,,2,44,1,1,1,2,5,38,2
3,9,,1,68,2,1,1,2,6,39,3
3,2,,3,52,2,1,1,2,6,39,3
4,1,2,2,46,2,1,1,2,6,39,3
4,1,2,1,61,2,1,1,2,6,39,3
1,2,,1,39,1,1,1,2,6,40,3
4,1,2,2,28,1,1,1,2,6,40,3
9,2,,1,63,1,1,1,2,6,40,3
9,2,,1,27,2,1,1,2,6,40,3
5,2,,1,27,1,1,1,2,6,40,3
9,,,,90,2,1,1,2,7,41,4
9,2,,1,25,1,1,1,2,7,41,4
9,9,,1,30,2,1,1,2,7,41,4
9,2,,1,45,1,1,1,2,7,41,4
9,1,1,2,37,1,1,1,2,6,42,3
9,9,,9,87,2,1,1,2,6,42,3
9,,,,75,2,1,1,2,6,42,3
9,1,2,1,37,1,1,1,2,6,42,3
9,9,,5,64,2,1,1,2,6,42,3
9,1,1,4,76,1,1,1,2,7,43,4
1,1,1,5,70,2,1,1,2,7,43,4
9,1,2,3,36,1,1,1,2,7,43,4
5,1,2,3,43,2,1,1,2,7,43,4
4,1,2,2,35,2,1,1,2,5,44,2
9,9,,9,22,1,1,1,2,5,44,2
9,1,2,1,40,1,1,1,2,5,44,2
9,2,,1,51,1,1,1,2,5,44,2
9,2,,2,61,2,1,1,2,5,44,2
9,2,,1,44,1,1,1,2,6,45,3
9,1,2,1,38,2,1,1,2,6,45,3
9,2,,1,57,2,1,1,2,6,45,3
9,1,1,5,57,1,1,1,2,6,45,3
9,1,1,1,55,1,1,1,2,6,45,3
2,1,1,4,37,1,1,1,2,6,46,3
2,1,2,1,28,2,1,1,2,6,46,3
9,,,,79,1,1,1,2,5,47,2
9,1,2,1,65,1,1,1,2,5,47,2
9,,,,85,2,1,1,2,5,47,2
2,1,1,3,65,1,1,1,2,5,47,2
2,1,2,2,25,2,1,1,2,5,47,2
9,1,2,1,49,2,1,1,2,5,48,2
9,1,1,2,29,1,1,1,2,5,48,2
9,1,2,2,30,1,1,1,2,5,48,2
9,,,,77,2,1,1,2,5,48,2
1,1,1,4,48,2,1,1,2,5,48,2
9,,,,22,1,1,1,2,5,49,2
9,,,,62,1,1,1,2,5,49,2
9,1,2,1,22,1,1,1,2,5,49,2
4,1,1,2,44,1,1,1,2,5,49,2
9,1,2,3,31,2,1,1,2,5,50,2
9,1,2,1,61,2,1,1,2,5,50,2
1,1,1,3,24,2,1,1,2,5,50,2
3,1,2,3,25,2,1,1,2,5,50,2
9,1,2,1,62,2,1,1,2,5,50,2
9,1,2,1,29,1,1,1,2,6,51,3
2,1,1,2,76,2,1,1,2,6,51,3
9,1,9,2,50,1,1,1,2,6,51,3
4,1,1,2,66,2,1,1,2,6,52,3
9,1,1,4,64,1,1,1,2,6,52,3
9,1,2,5,33,2,1,1,2,6,52,3
2,1,1,5,26,1,1,1,2,6,52,3
9,9,,2,37,2,1,1,2,6,52,3
1,2,,1,21,2,1,1,2,6,53,3
1,1,1,3,39,1,1,1,2,6,53,3
9,1,2,1,23,1,1,1,2,6,53,3
9,1,2,1,39,2,1,1,2,6,53,3
9,1,1,3,59,1,1,1,2,6,54,3
3,1,1,2,82,2,1,1,2,6,54,3
9,1,2,3,20,1,1,1,2,6,54,3
5,1,1,5,42,1,1,1,2,6,54,3
9,1,2,1,22,2,1,1,2,6,55,3
9,1,2,1,64,2,1,1,2,6,55,3
9,2,,1,35,2,1,1,2,6,55,3
5,1,2,1,20,1,1,1,2,6,55,3
9,1,1,4,49,2,1,1,2,5,56,2
9,1,1,1,21,2,1,1,2,5,56,2
9,1,1,3,25,2,1,1,2,5,56,2
9,1,2,1,48,1,1,1,2,5,56,2
9,1,1,3,33,2,1,1,2,5,56,2
9,1,1,3,20,1,1,1,2,5,56,2
9,1,1,3,57,2,1,1,2,5,56,2
1,1,1,2,26,2,1,1,2,5,57,2
9,,,,59,2,1,1,2,5,57,2
4,1,1,4,32,2,1,1,2,5,57,2
6,9,,4,26,1,1,1,2,5,57,2
1,1,1,5,34,1,1,1,2,5,57,2
9,1,1,3,23,2,1,1,2,5,57,2
9,2,,4,24,1,1,1,2,5,58,2
9,,,,73,2,1,1,2,5,58,2
9,2,,1,43,2,1,1,2,5,58,2
9,1,2,1,34,2,1,1,2,5,58,2
9,2,,1,44,2,1,1,2,5,58,2
4,1,1,2,37,1,1,1,2,7,60,4
9,1,1,3,78,2,1,1,2,7,60,4
4,1,1,4,39,2,1,1,2,7,61,4
3,1,1,3,57,1,1,1,2,7,61,4
9,1,1,4,62,2,1,1,2,7,61,4
9,1,2,1,38,1,1,1,2,7,61,4
9,2,,1,65,2,1,1,2,7,61,4
4,1,1,5,34,2,1,1,2,6,62,3
1,1,2,4,22,1,1,1,2,6,62,3
3,1,1,3,40,2,1,1,2,6,62,3
9,1,1,3,54,2,1,1,2,6,62,3
9,1,1,2,35,2,1,1,2,5,63,2
3,2,,3,33,2,1,1,2,5,63,2
2,2,,1,43,2,1,1,2,5,63,2
9,2,,3,37,2,1,1,2,5,63,2
9,2,,1,49,2,1,1,2,7,64,4
5,1,1,4,30,1,1,1,2,7,64,4
6,1,1,1,26,1,1,1,2,7,64,4
5,1,1,5,46,1,1,1,2,7,64,4
9,1,2,3,25,1,1,1,2,6,65,3
4,1,1,4,48,2,1,1,2,6,65,3
9,1,1,3,42,2,1,1,2,6,65,3
3,1,1,3,63,2,1,1,2,6,65,3
9,1,2,1,50,2,1,1,2,6,65,3
9,1,2,1,27,1,1,1,2,6,66,3
9,1,1,2,20,2,1,1,2,6,66,3
9,1,2,2,41,2,1,1,2,6,66,3
9,,,,45,2,1,1,2,6,66,3
3,1,1,1,21,2,1,1,2,6,67,3
9,1,1,1,21,1,1,1,2,6,67,3
9,1,1,2,30,2,1,1,2,6,67,3
9,,,,58,2,1,1,2,6,67,3
9,1,1,2,48,1,1,1,2,6,67,3
9,2,,1,48,2,1,1,2,6,68,3
9,1,1,1,55,1,1,1,2,6,68,3
9,,,,47,1,1,1,2,6,68,3
9,2,,1,54,1,1,1,2,6,68,3
9,2,,1,34,2,1,1,2,6,68,3
3,1,1,5,25,2,1,1,2,6,69,3
9,1,1,3,50,1,1,1,2,6,69,3
9,2,,1,52,1,1,1,2,6,69,3
1,1,1,4,22,1,1,1,2,6,69,3
4,1,1,3,45,1,1,1,2,6,70,3
9,1,2,1,25,2,1,1,2,6,70,3
9,1,2,1,26,1,1,1,2,6,70,3
9,1,2,3,30,1,1,1,2,6,70,3
4,1,1,3,41,1,1,1,2,6,70,3
9,2,,1,22,2,1,1,2,6,71,3
5,1,2,2,29,2,1,1,2,6,71,3
9,1,1,3,24,1,1,1,2,6,71,3
9,1,2,1,61,2,1,1,2,6,71,3
9,9,,1,21,2,1,1,2,6,71,3
9,1,2,1,31,1,1,1,2,6,71,3
9,1,2,3,59,2,1,1,2,6,72,3
5,1,2,2,36,1,1,1,2,6,72,3
9,1,2,1,27,1,1,1,2,6,72,3
3,1,2,3,38,1,1,1,2,6,72,3
1,1,1,5,27,1,1,1,2,6,72,3
9,,,,51,2,1,1,2,5,73,2
9,,,,49,2,1,1,2,5,73,2
9,1,1,4,43,1,1,1,2,5,73,2
3,1,2,1,24,1,1,1,2,5,73,2
9,,,,64,2,1,1,2,5,73,2
9,1,2,2,44,2,1,1,2,6,74,3
9,2,,1,23,2,1,1,2,6,74,3
9,2,,1,60,2,1,1,2,6,74,3
9,1,1,2,57,1,1,1,2,6,74,3
9,1,2,1,39,2,1,1,2,7,75,4
9,2,,1,59,2,1,1,2,7,75,4
9,1,1,1,54,1,1,1,2,7,75,4
5,1,2,2,72,1,1,1,2,7,75,4
2,1,2,1,49,1,1,1,2,6,76,3
9,1,1,1,35,2,1,1,2,6,76,3
1,1,1,3,30,1,1,1,2,6,77,3
9,2,,1,47,1,1,1,2,6,77,3
9,1,2,2,58,2,1,1,2,6,77,3
9,1,1,3,23,1,1,1,2,6,77,3
7,1,1,3,30,1,1,1,2,6,78,3
2,1,1,4,41,1,1,1,2,6,78,3
9,1,1,2,75,1,1,1,2,6,78,3
9,1,1,3,59,1,1,1,2,6,78,3
9,1,1,3,67,1,1,1,2,6,78,3
9,1,1,5,58,1,1,1,2,5,79,2
9,1,2,1,56,1,1,1,2,5,79,2
9,2,,3,51,2,1,1,2,5,79,2
5,1,1,4,24,2,1,1,2,5,79,2
9,9,,9,49,2,1,1,2,6,80,3
9,1,2,2,51,2,1,1,2,6,80,3
9,2,,3,49,2,1,1,2,6,80,3
9,1,2,1,42,1,1,1,2,6,80,3
3,1,1,2,66,2,1,1,2,6,81,3
9,1,2,2,36,1,1,1,2,6,81,3
9,2,,1,59,2,1,1,2,6,81,3
3,1,2,1,72,2,1,1,2,6,81,3
3,1,1,3,47,2,1,1,2,6,81,3
9,2,,1,43,2,1,1,2,6,82,3
2,1,2,1,27,1,1,1,2,6,82,3
9,9,,1,44,1,1,1,2,6,82,3
2,1,2,2,45,2,1,1,2,6,82,3
9,1,1,3,24,2,1,1,2,6,83,3
2,1,1,3,39,1,1,1,2,6,83,3
4,1,1,3,71,1,1,1,2,6,83,3
4,1,1,4,28,2,1,1,2,6,84,3
2,2,,1,25,1,1,1,2,6,84,3
9,1,2,3,27,1,1,1,2,6,84,3
9,1,1,3,47,1,1,1,2,6,84,3
9,1,1,2,53,2,1,1,2,6,84,3
9,1,2,2,44,2,1,1,2,7,85,4
4,1,1,2,47,1,1,1,2,7,85,4
4,1,1,2,53,2,1,1,2,7,85,4
9,1,1,3,36,2,1,1,2,7,85,4
4,1,1,4,45,1,1,1,2,7,85,4
9,,,,39,2,1,1,2,6,86,3
9,1,2,2,31,2,1,1,2,6,86,3
9,1,2,1,21,2,1,1,2,6,86,3
9,9,,1,55,1,1,1,2,6,86,3
9,,,,59,2,1,1,2,6,86,3
4,1,1,2,24,2,1,1,2,6,87,3
9,1,1,2,62,2,1,1,2,6,87,3
9,1,2,1,54,2,1,1,2,6,87,3
1,1,2,2,60,1,1,1,2,6,87,3
1,1,2,2,25,2,1,1,2,6,88,3
2,1,2,2,64,1,1,1,2,6,88,3
9,1,1,3,35,2,1,1,2,6,88,3
3,1,1,4,57,1,1,1,2,6,88,3
9,1,1,1,36,1,1,1,2,6,88,3
3,1,1,3,24,2,1,1,2,6,89,3
9,1,1,4,25,1,1,1,2,6,89,3
3,1,2,1,29,1,1,1,2,6,89,3
9,,,,51,1,1,1,2,6,89,3
9,1,1,4,41,2,1,1,2,6,90,3
9,1,2,5,60,1,1,1,2,6,90,3
4,1,1,3,30,2,1,1,2,6,90,3
4,1,1,4,32,1,1,1,2,6,90,3
9,1,2,1,48,1,1,1,2,6,90,3
9,1,1,1,39,2,1,1,2,6,91,3
4,1,1,3,27,1,1,1,2,6,91,3
9,1,1,3,41,2,1,1,2,6,91,3
9,1,1,5,41,1,1,1,2,6,91,3
1,1,1,4,38,2,1,1,2,7,92,4
4,1,2,2,25,2,1,1,2,7,92,4
2,1,1,4,43,1,1,1,2,7,92,4
9,2,,1,58,1,1,1,2,7,92,4
9,1,1,4,44,1,1,1,2,7,93,4
9,1,2,1,31,2,1,1,2,7,93,4
9,1,2,3,42,2,1,1,2,7,93,4
9,1,1,3,26,1,1,1,2,7,93,4
9,1,1,5,40,1,1,1,2,7,94,4
4,9,,1,44,2,1,1,2,7,94,4
9,1,1,4,52,2,1,1,2,7,94,4
5,1,1,5,38,2,1,1,2,7,94,4
9,1,1,1,43,2,1,1,2,7,95,4
9,1,2,3,46,2,1,1,2,7,95,4
1,1,1,4,22,1,1,1,2,7,95,4
9,1,1,4,38,2,1,1,2,7,95,4
9,1,2,1,40,2,1,1,2,7,96,4
3,1,2,2,29,2,1,1,2,7,96,4
2,1,1,4,40,2,1,1,2,7,96,4
9,1,2,3,45,1,1,1,2,7,96,4
3,1,1,1,44,1,1,1,2,7,96,4
4,1,1,5,51,2,1,1,2,7,97,4
3,1,1,5,59,2,1,1,2,7,97,4
9,1,2,1,46,2,1,1,2,5,98,2
3,1,1,1,20,2,1,1,2,5,98,2
9,1,1,3,50,2,1,1,2,5,98,2
2,1,2,1,24,2,1,1,2,5,98,2
9,2,,3,33,2,1,1,2,5,98,2
9,,,,74,1,1,1,2,6,99,3
9,1,2,1,39,1,1,1,2,6,99,3
9,,,,50,2,1,1,2,6,99,3
9,1,1,2,39,2,1,1,2,5,100,2
9,1,1,5,72,1,1,1,2,5,100,2
9,1,1,5,21,2,1,1,2,5,100,2
3,1,1,2,38,2,1,1,2,5,100,2
9,,,,84,1,1,1,2,5,101,2
2,1,1,5,34,2,1,1,2,5,101,2
2,1,1,3,30,2,1,1,2,5,101,2
3,1,2,4,64,1,1,1,2,5,101,2
9,1,2,1,28,2,1,1,2,5,101,2
9,1,1,2,47,2,1,1,2,7,102,4
2,2,,1,60,1,1,1,2,7,102,4
2,1,1,5,45,2,1,1,2,7,102,4
9,1,2,2,47,1,1,1,2,7,102,4
9,1,2,3,54,2,1,1,2,7,102,4
9,1,2,1,34,1,1,1,2,5,103,2
9,1,1,3,59,2,1,1,2,5,103,2
9,1,2,5,38,2,1,1,2,5,103,2
9,1,2,3,45,1,1,1,2,5,103,2
1,1,1,3,43,1,1,1,2,5,103,2
9,1,2,1,43,1,1,1,2,7,104,4
9,1,2,1,33,1,1,1,2,7,104,4
5,1,2,1,23,1,1,1,2,7,104,4
3,1,2,1,40,2,1,1,2,7,104,4
3,1,1,2,34,2,1,1,2,6,105,3
2,1,1,4,26,2,1,1,2,6,105,3
4,2,,5,78,2,1,1,2,6,105,3
1,1,1,3,38,1,1,1,2,5,106,2
9,1,1,4,44,2,1,1,2,5,106,2
4,1,1,3,23,2,1,1,2,5,106,2
3,1,1,1,41,2,1,1,2,5,106,2
1,1,1,1,20,2,1,1,2,5,106,2
9,1,2,1,32,2,1,1,2,6,107,3
9,9,,1,70,2,1,1,2,6,107,3
9,2,,1,63,1,1,1,2,5,108,2
9,1,1,3,42,1,1,1,2,5,108,2
9,1,2,1,20,2,1,1,2,5,108,2
2,1,1,2,26,1,1,1,2,5,108,2
3,1,1,3,37,1,1,1,2,5,108,2
2,1,1,3,39,2,1,1,2,7,109,4
9,1,1,2,46,1,1,1,2,7,109,4
6,1,2,1,34,1,1,1,2,7,109,4
3,1,1,3,53,1,1,1,2,7,109,4
9,1,1,1,38,1,1,1,2,7,110,4
9,1,1,1,36,1,1,1,2,7,110,4
5,1,2,1,38,1,1,1,2,7,110,4
9,1,2,2,32,1,1,1,2,7,110,4
9,1,2,2,67,1,1,1,2,7,110,4
9,2,,1,39,2,1,1,2,6,111,3
9,1,2,1,33,2,1,1,2,6,111,3
5,1,2,1,38,1,1,1,2,6,111,3
9,1,2,2,48,1,1,1,2,6,111,3
9,1,2,1,33,2,1,1,2,6,111,3
9,1,1,4,39,1,1,1,2,5,112,2
5,1,1,2,41,1,1,1,2,5,112,2
4,1,1,3,20,1,1,1,2,5,112,2
9,1,2,1,36,2,1,1,2,5,112,2
9,1,1,3,38,1,1,1,2,5,112,2
9,2,,1,47,1,1,1,2,5,113,2
9,1,2,1,27,1,1,1,2,5,113,2
9,2,,1,52,1,1,1,2,5,113,2
9,1,2,1,36,1,1,1,2,5,113,2
9,1,2,1,44,2,1,1,2,5,114,2
9,9,,1,34,1,1,1,2,5,114,2
9,2,,1,29,2,1,1,2,5,114,2
9,1,2,1,35,1,1,1,2,5,114,2
9,1,1,2,36,2,1,1,2,5,114,2
5,1,2,4,39,2,1,1,2,5,115,2
9,2,,3,64,1,1,1,2,5,115,2
9,2,,2,37,2,1,1,2,5,115,2
9,9,,2,44,1,1,1,2,5,115,2
9,2,,2,68,2,1,1,2,5,116,2
3,1,2,4,39,2,1,1,2,5,116,2
9,1,2,2,82,1,1,1,2,5,116,2
9,1,2,2,48,2,1,1,2,5,116,2
9,1,2,1,40,1,1,1,2,5,116,2
9,1,1,4,35,1,1,1,2,5,117,2
9,1,1,2,57,1,1,1,2,5,117,2
3,1,2,4,46,2,1,1,2,5,117,2
9,1,1,3,32,1,1,1,2,5,117,2
9,1,1,4,40,1,1,1,2,5,118,2
2,1,1,3,20,2,1,1,2,5,118,2
9,1,1,2,26,1,1,1,2,5,118,2
9,1,2,1,23,2,1,1,2,5,118,2
3,1,1,3,47,2,1,1,2,7,119,4
4,1,1,3,25,2,1,1,2,7,119,4
3,1,1,3,36,2,1,1,2,7,119,4
1,1,1,3,39,1,1,1,2,7,119,4
9,1,1,3,39,2,1,1,2,6,120,3
5,1,1,4,37,1,1,1,2,6,120,3
9,1,1,3,44,1,1,1,2,6,120,3
9,1,2,2,39,1,1,1,2,6,120,3
9,1,1,2,25,1,1,1,2,5,121,2
2,1,1,1,21,1,1,1,2,5,121,2
9,,,,53,2,1,1,2,5,121,2
9,1,2,1,56,1,1,1,2,5,121,2
9,1,2,2,46,1,1,1,2,5,122,2
9,1,2,1,55,1,1,1,2,5,122,2
9,1,1,4,24,1,1,1,2,5,122,2
5,1,1,2,30,2,1,1,2,5,123,2
9,2,,3,22,1,1,1,2,5,123,2
9,1,2,3,37,2,1,1,2,5,123,2
9,2,,2,32,2,1,1,2,5,123,2
4,1,1,4,44,1,1,1,2,7,124,4
3,1,2,1,38,2,1,1,2,7,124,4
9,1,2,1,76,1,1,1,2,7,124,4
9,,,,61,2,1,1,2,5,125,2
9,1,2,1,38,1,1,1,2,5,125,2
9,2,,1,25,1,1,1,2,5,125,2
9,1,1,4,33,1,1,1,2,5,125,2
9,1,1,5,37,1,1,1,2,5,125,2
3,1,1,5,38,2,1,1,2,7,126,4
4,1,1,4,35,2,1,1,2,7,126,4
5,1,1,1,67,1,1,1,2,7,126,4
4,1,1,5,21,1,1,1,2,7,126,4
9,1,2,2,64,1,1,1,2,5,127,2
4,1,1,5,37,1,1,1,2,5,127,2
2,1,1,5,41,1,1,1,2,5,127,2
3,1,2,1,56,1,1,1,2,5,127,2
5,1,1,4,32,1,1,1,2,5,127,2
2,1,1,4,28,2,1,1,2,5,128,2
2,1,2,4,35,1,1,1,2,5,128,2
2,1,1,5,37,1,1,1,2,5,128,2
1,1,1,4,46,1,1,1,2,5,128,2
9,1,1,3,26,1,1,1,2,1,129,2
9,9,,1,77,1,1,1,2,1,129,2
9,1,2,1,35,1,1,1,2,1,129,2
3,1,1,3,23,2,1,1,2,1,129,2
9,1,2,1,21,1,1,1,2,1,129,2
9,,,,81,2,1,1,2,1,129,2
9,1,2,5,64,2,1,1,2,1,129,2
9,1,2,1,24,2,1,1,2,1,129,2
9,1,2,2,48,2,1,1,2,1,129,2
9,1,1,4,52,2,1,1,2,1,129,2
9,1,2,2,21,1,1,1,2,1,129,2
9,1,2,2,22,2,1,1,2,1,129,2
9,,,,51,1,1,1,2,1,129,2
9,9,,1,68,2,1,1,2,1,129,2
5,1,1,4,28,2,1,1,2,1,129,2
9,1,2,1,30,2,1,1,2,1,129,2
9,1,1,3,53,2,1,1,2,1,129,2
9,1,2,1,47,1,1,1,2,1,129,2
9,9,,1,23,1,1,1,2,8,130,2
9,1,2,1,23,2,1,1,2,8,130,2
9,1,1,4,23,2,1,1,2,8,130,2
9,2,,1,69,1,1,1,2,8,130,2
9,1,2,3,56,2,1,1,2,8,130,2
9,1,2,1,30,1,1,1,2,8,130,2
1,1,1,2,23,1,1,1,2,8,131,2
1,1,1,4,37,1,1,1,2,8,131,2
9,,,,58,2,1,1,2,8,131,2
9,,,,57,2,1,1,2,8,131,2
9,,,,26,1,1,1,2,8,131,2
2,1,2,3,36,2,1,1,2,8,132,2
9,1,2,1,39,1,1,1,2,8,132,2
9,1,2,1,20,2,1,1,2,8,132,2
9,1,2,1,24,1,1,1,2,8,132,2
9,1,2,1,35,2,1,1,2,8,132,2
9,1,2,1,26,2,1,1,2,9,133,3
9,1,1,3,27,1,1,1,2,9,133,3
9,1,1,5,41,1,1,1,2,9,133,3
3,1,2,1,48,1,1,1,2,9,133,3
4,1,1,4,24,2,1,1,2,9,133,3
3,1,2,4,40,2,1,1,2,8,134,2
9,1,2,2,41,2,1,1,2,8,134,2
9,2,,1,41,2,1,1,2,8,134,2
9,2,,1,32,1,1,1,2,8,134,2
9,,,,38,2,1,1,2,8,134,2
4,1,1,1,44,2,1,1,2,8,135,2
2,1,1,4,23,2,1,1,2,8,135,2
9,1,2,1,50,2,1,1,2,8,135,2
2,1,1,5,35,1,1,1,2,8,135,2
9,1,2,5,44,1,1,1,2,8,135,2
2,1,1,2,30,2,1,1,2,1,136,2
9,1,2,2,43,2,1,1,2,1,136,2
9,1,1,2,41,1,1,1,2,1,136,2
9,1,2,2,29,2,1,1,2,1,136,2
2,1,2,1,21,1,1,1,2,1,136,2
2,1,2,2,25,1,1,1,2,1,136,2
9,1,1,2,23,2,1,1,2,1,136,2
4,1,1,2,36,2,1,1,2,1,136,2
2,1,1,2,25,1,1,1,2,1,136,2
1,2,,1,30,1,1,1,2,1,136,2
3,1,1,3,31,1,1,1,2,1,136,2
9,,,,72,2,1,1,2,1,136,2
3,1,1,4,24,2,1,1,2,1,136,2
9,,,,84,1,1,1,2,1,136,2
4,1,1,3,22,2,1,1,2,1,136,2
9,1,1,3,41,2,1,1,2,1,136,2
9,2,,2,35,1,1,1,2,1,136,2
9,1,1,5,43,1,1,1,2,1,136,2
9,2,,1,26,1,1,1,2,1,136,2
1,1,2,2,26,1,1,1,2,1,136,2
3,2,,3,40,2,1,1,2,1,137,2
3,2,,3,23,1,1,1,2,1,137,2
2,1,1,2,41,2,1,1,2,1,137,2
9,1,2,2,42,2,1,1,2,1,137,2
9,1,2,1,41,1,1,1,2,1,137,2
3,1,2,3,20,1,1,1,2,1,137,2
